hotdog,name,longitude,latitude,address,is_2017,is_2018,is_2019,is_2020,is_2021,is_2022,is_2023,is_2024,description,img_url
Oriental Game Limited,Oriental Game Limited,121.0231694,14.53395565,"6th Floor, Ecoplaza Building, 2305 Chino Roces Extension, Makati City, Philippines",true,true,false,true,true,true,true,false,"Specializes in providing comprehensive gaming solutions and services, catering to the needs of online gaming platforms.",https://i.postimg.cc/dtwXJCZB/ecoplaza.jpg
Far Eastern Capital Limited,Far Eastern Capital Limited,121.021268,14.55635656,"35th Floor Tower 1, The Enterprise Center, 6766 Ayala Avenue corner Paseo de Roxas, Makati City, Philippines",true,true,false,true,false,true,false,false,"Focuses on investment and financial management within the gaming sector, supporting various POGOs through capital funding and strategic planning.",https://i.postimg.cc/YS6Y2vW6/enterprise-center.jpg
Marco Polo Enterprises Limited,Marco Polo Enterprises Limited,121.0206212,14.55776705,"Robinson Summit Center 20th Floor Ayala Avenue, Makati City, Philippines",true,true,false,true,true,true,false,false,"Offers a wide range of gaming-related services, including platform development, game design, and marketing strategies tailored for the Asian market.",https://i.postimg.cc/JhQ0dgv8/robinsons-summit.jpg
Imperial Choice Limited,Imperial Choice Limited,121.0129675,14.56028594,"9th Floor Burgundy Corporate Tower, 252 Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,true,true,true,false,"Engaged in the operation and management of online gaming platforms, emphasizing high-quality customer service and secure transactions.",https://i.postimg.cc/BbRnKGLT/burgundy-corporate.jpg
Libo Consolidated Limited,Libo Consolidated Limited,121.0197153,14.55859484,"32nd Floor, PBCom Tower, Ayala Avenue, Makati City, Philippines",true,true,false,false,false,false,false,false,"Provides integrated gaming solutions, from software development to licensing and regulatory compliance, serving clients across Asia.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Fortuneport Enterprises Limited,Fortuneport Enterprises Limited,121.0129675,14.56028594,"24th Floor Burgundy Corporate Tower, Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,false,true,false,false,"Specializes in the development and deployment of advanced gaming technologies, offering innovative solutions for online casinos and sports betting platforms.",https://i.postimg.cc/BbRnKGLT/burgundy-corporate.jpg
SC World Development Group Limited,SC World Development Group Limited,121.0197153,14.55859484,"21st Floor PBCom Tower, 6795 Ayala Avenue, Makati City, Philippines",true,true,false,true,false,true,false,false,"Offers a broad spectrum of services within the gaming industry, including project management, consulting, and technology integration for POGOs.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Golden Dragon Empire Limited,Golden Dragon Empire Limited,121.0101568,14.55910681,"26th Floor, Techzone Building, 213 Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,true,false,true,false,"Focused on the production and distribution of gaming equipment and software, catering to both land-based and online gaming establishments.",https://i.postimg.cc/7Pjz7vyt/techzone.jpg
VIP Global Solutions Limited,VIP Global Solutions Limited,121.0129675,14.56028594,"24th Floor, Burgundy Corporate Tower, Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,true,true,true,false,"Delivers customized gaming solutions, including VIP program management, loyalty systems, and personalized customer support services.",https://i.postimg.cc/BbRnKGLT/burgundy-corporate.jpg
MG Universal Link Limited,MG Universal Link Limited,121.0197153,14.55859484,"18th Floor, PBCom Tower, Ayala Avenue corner V.A. Rufino St., Makati City, Philippines",true,true,false,true,true,true,true,false,"Specializes in linking players between different online gaming platforms, enhancing player experience and promoting cross-platform play.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
